RTCore64 PCI BAR bypass static audit
Purpose: identify whether raw I/O port write IOCTLs can bypass the PCI BAR write guard used by HalSetBusDataByOffset path.

===== IOCTL 0x80002014 byte out guard 00011500-00011565 =====
00011506  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
0001150b  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
00011512  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
00011517  CMP EDX,0x8  ; FUN_00011438 @ 00011438
0001151a  JNZ 0x00011560  ; FUN_00011438 @ 00011438
0001151c  CMP dword ptr [RBX],0xcfc  ; FUN_00011438 @ 00011438
00011522  JNZ 0x00011549  ; FUN_00011438 @ 00011438
00011524  MOV EDX,0xcf8  ; FUN_00011438 @ 00011438
00011529  IN EAX,DX  ; FUN_00011438 @ 00011438
0001152a  BT EAX,0x1f  ; FUN_00011438 @ 00011438
0001152e  JNC 0x00011549  ; FUN_00011438 @ 00011438
00011530  AND EAX,0xfc  ; FUN_00011438 @ 00011438
00011535  ADD EAX,-0x10  ; FUN_00011438 @ 00011438
00011538  CMP EAX,0x17  ; FUN_00011438 @ 00011438
0001153b  JA 0x00011549  ; FUN_00011438 @ 00011438
0001153d  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
00011544  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
00011549  MOVZX EDX,word ptr [RBX]  ; FUN_00011438 @ 00011438
0001154c  MOV EAX,dword ptr [RBX + 0x4]  ; FUN_00011438 @ 00011438
0001154f  OUT DX,EAX  ; FUN_00011438 @ 00011438
00011550  MOV dword ptr [RDI + 0x30],ESI  ; FUN_00011438 @ 00011438
00011553  MOV qword ptr [RDI + 0x38],0x8  ; FUN_00011438 @ 00011438
0001155b  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
00011560  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438

===== IOCTL 0x80002018 word out guard 00011570-000115b5 =====
00011571  CMP dword ptr [RBX],0xcfc  ; FUN_00011438 @ 00011438
00011577  JNZ 0x0001159e  ; FUN_00011438 @ 00011438
00011579  MOV EDX,0xcf8  ; FUN_00011438 @ 00011438
0001157e  IN EAX,DX  ; FUN_00011438 @ 00011438
0001157f  BT EAX,0x1f  ; FUN_00011438 @ 00011438
00011583  JNC 0x0001159e  ; FUN_00011438 @ 00011438
00011585  AND EAX,0xfc  ; FUN_00011438 @ 00011438
0001158a  ADD EAX,-0x10  ; FUN_00011438 @ 00011438
0001158d  CMP EAX,0x17  ; FUN_00011438 @ 00011438
00011590  JA 0x0001159e  ; FUN_00011438 @ 00011438
00011592  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
00011599  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
0001159e  MOVZX EDX,word ptr [RBX]  ; FUN_00011438 @ 00011438
000115a1  MOVZX EAX,word ptr [RBX + 0x4]  ; FUN_00011438 @ 00011438
000115a5  OUT DX,AX  ; FUN_00011438 @ 00011438
000115a7  MOV dword ptr [RDI + 0x30],ESI  ; FUN_00011438 @ 00011438
000115aa  MOV qword ptr [RDI + 0x38],0x8  ; FUN_00011438 @ 00011438
000115b2  JMP 0x00011b0a  ; FUN_00011438 @ 00011438

===== IOCTL 0x8000201c dword out guard 000115c0-00011610 =====
000115c3  CMP EDX,0x8  ; FUN_00011438 @ 00011438
000115c6  JNZ 0x0001160c  ; FUN_00011438 @ 00011438
000115c8  CMP dword ptr [RBX],0xcfc  ; FUN_00011438 @ 00011438
000115ce  JNZ 0x000115f5  ; FUN_00011438 @ 00011438
000115d0  MOV EDX,0xcf8  ; FUN_00011438 @ 00011438
000115d5  IN EAX,DX  ; FUN_00011438 @ 00011438
000115d6  BT EAX,0x1f  ; FUN_00011438 @ 00011438
000115da  JNC 0x000115f5  ; FUN_00011438 @ 00011438
000115dc  AND EAX,0xfc  ; FUN_00011438 @ 00011438
000115e1  ADD EAX,-0x10  ; FUN_00011438 @ 00011438
000115e4  CMP EAX,0x17  ; FUN_00011438 @ 00011438
000115e7  JA 0x000115f5  ; FUN_00011438 @ 00011438
000115e9  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
000115f0  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
000115f5  MOVZX EDX,word ptr [RBX]  ; FUN_00011438 @ 00011438
000115f8  MOV AL,byte ptr [RBX + 0x4]  ; FUN_00011438 @ 00011438
000115fb  OUT DX,AL  ; FUN_00011438 @ 00011438
000115fc  MOV dword ptr [RDI + 0x30],ESI  ; FUN_00011438 @ 00011438
000115ff  MOV qword ptr [RDI + 0x38],0x8  ; FUN_00011438 @ 00011438
00011607  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
0001160c  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438

===== IOCTL 0x80002054 HalSetBusDataByOffset guard 000117a0-00011880 =====
000117a1  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
000117a8  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
000117ad  LEA R9,[RBX + 0x14]  ; FUN_00011438 @ 00011438
000117b1  MOV R8D,dword ptr [RBX + 0x8]  ; FUN_00011438 @ 00011438
000117b5  AND R8D,0x7  ; FUN_00011438 @ 00011438
000117b9  SHL R8D,0x5  ; FUN_00011438 @ 00011438
000117bd  MOV EAX,dword ptr [RBX + 0x4]  ; FUN_00011438 @ 00011438
000117c0  AND EAX,0x1f  ; FUN_00011438 @ 00011438
000117c3  OR R8D,EAX  ; FUN_00011438 @ 00011438
000117c6  MOV dword ptr [RSP + 0x28],ECX  ; FUN_00011438 @ 00011438
000117ca  MOV dword ptr [RSP + 0x20],EDX  ; FUN_00011438 @ 00011438
000117ce  MOV EDX,dword ptr [RBX]  ; FUN_00011438 @ 00011438
000117d0  MOV ECX,0x4  ; FUN_00011438 @ 00011438
000117d5  CALL qword ptr [0x00013008]  ; FUN_00011438 @ 00011438
000117db  MOV dword ptr [RDI + 0x30],ESI  ; FUN_00011438 @ 00011438
000117de  MOV qword ptr [RDI + 0x38],0x18  ; FUN_00011438 @ 00011438
000117e6  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
000117eb  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
000117f2  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
000117f7  MOV dword ptr [RDI + 0x30],0xc000000d  ; FUN_00011438 @ 00011438
000117fe  JMP 0x00011b0a  ; FUN_00011438 @ 00011438
00011803  CMP EDX,0x18  ; FUN_00011438 @ 00011438
00011806  JNZ 0x00011861  ; FUN_00011438 @ 00011438
00011808  MOV ECX,dword ptr [RBX + 0x10]  ; FUN_00011438 @ 00011438
0001180b  CMP ECX,ESI  ; FUN_00011438 @ 00011438
0001180d  JZ 0x00011855  ; FUN_00011438 @ 00011438
0001180f  CMP ECX,0x4  ; FUN_00011438 @ 00011438
